ranking, punk_image, id, minscore, 2nd, category
35,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4121.png" width="72" height="72">","4121",0.012400000000,1.5600000000,30.3100000000,0.1100000000,"Spots 1.2400,Silver Chain 1.5600,Chinstrap 2.8200,Mohawk 4.4100,Cigarette 9.6100,Earring 24.5900",Mid,Male,0.0027181354372123602894076570
36,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2460.png" width="72" height="72">","2460",0.033200000000,4.8100000000,0.2400000000,35.6000000000,"VR 3.3200,Bandana 4.8100",Ape,Ape,0.0027807436879438482929512322
37,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk7920.png" width="72" height="72">","7920",0.012800000000,2.1200000000,30.3100000000,0.1100000000,"Rosy Cheeks 1.2800,Clown Nose 2.1200,VR 3.3200,Crazy hair 4.1400,Hot Lipstick 6.9600,Cigarette 9.6100",Mid,Female,0.0028058172255095332019691943
38,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4156.png" width="72" height="72">","4156",0.048100000000,4.8100000000,0.2400000000,3.3300000000,Bandana 4.8100,Ape,Ape,0.0028506962387104149996266825
39,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk1021.png" width="72" height="72">","1021",0.035100000000,4.6100000000,0.2400000000,35.6000000000,"Cap 3.5100,Eye Patch 4.6100",Ape,Ape,0.0029177819395726685816595004
40,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6915.png" width="72" height="72">","6915",0.035100000000,4.6100000000,0.2400000000,45.0100000000,"Cap 3.5100,Eye Patch 4.6100,Earring 24.5900",Ape,Ape,0.0029183028254310565634917246
41,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6145.png" width="72" height="72">","6145",0.035100000000,9.6100000000,0.2400000000,45.0100000000,"Cap 3.5100,Cigarette 9.6100,Earring 24.5900",Ape,Ape,0.0029283496250662610798282297
42,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2386.png" width="72" height="72">","2386",0.037800000000,4.0600000000,0.2400000000,35.6000000000,"Small Shades 3.7800,Headband 4.0600",Ape,Ape,0.0031071894496791603165339917
43,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2140.png" width="72" height="72">","2140",0.037800000000,4.1900000000,0.2400000000,35.6000000000,"Small Shades 3.7800,Knitted Cap 4.1900",Ape,Ape,0.0031079581816847214911407601
44,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk0755.png" width="72" height="72">","0755",0.014700000000,3.8200000000,10.1800000000,0.1100000000,"Blonde Bob 1.4700,Clown Eyes Green 3.8200,Black Lipstick 6.1700,Mole 6.4400,Cigarette 9.6100,Earring 24.5900",Albino,Female,0.0031994285714285714289191060
